feature,mean_importance
Dist_Cluster_25,-0.0026520610375992517
feature_46,-0.0011339720556871268
Dist_Cluster_4,-0.0010534942369940126
feature_9,-0.0007566474101584619
feature_43,-0.0007471295543946433
feature_1,-0.0006016426146290277
Dist_Cluster_6,-0.00045415846609162534
Dist_Cluster_23,-0.00043912742453129373
feature_4,-0.00034173248799087565
feature_60,-0.00033809973810894345
feature_57,-0.0003321450055575159
Dist_Cluster_16,-0.00027553659246599694
feature_58,-0.0002509396299595457
feature_61,-0.0002291624929424252
Dist_Cluster_15,-0.00022102641034964509
Dist_Cluster_10,-0.0002124348422876565
Dist_Cluster_20,-0.00020689149564045994
random_feature,-0.0001981666596239773
feature_10,-0.00011123915037605236
Dist_Cluster_21,-8.103208037568699e-05
Dist_Cluster_26,-4.035299568743156e-05
feature_16,-3.535320300402933e-05
Dist_Cluster_0,-1.596438068016681e-05
feature_55,-1.2883217741355147e-05
feature_18,0.0
feature_7,0.0
Cluster,0.0
feature_17,0.0
feature_41,0.0
feature_40,0.0
feature_39,0.0
feature_37,0.0
feature_52,0.0
Dist_Cluster_11,0.0
feature_32,0.0
feature_5,0.0
feature_28,0.0
feature_27,0.0
feature_3,0.0
feature_11,0.0
feature_59,0.0
feature_38,3.5417084251720966e-05
Dist_Cluster_17,6.540832801102959e-05
Dist_Cluster_19,6.960205359380911e-05
Dist_Cluster_24,7.691751025651339e-05
Dist_Cluster_8,8.483191741890384e-05
Dist_Cluster_5,8.639688993352656e-05
Dist_Cluster_1,0.00011793282344034761
feature_15,0.00014129654477312847
Dist_Cluster_12,0.00015765861089711564
feature_44,0.0001881088834297051
Dist_Cluster_9,0.00022676934528822467
feature_6,0.00023976019236202629
Dist_Cluster_13,0.0002817821989191671
Dist_Cluster_14,0.00034099070660400523
feature_21,0.00034739491467579154
feature_35,0.00037322096844871755
feature_8,0.00040523428299641393
feature_23,0.00044522043826473735
Dist_Cluster_18,0.0004546527835973091
feature_2,0.000466262164547282
feature_26,0.000566777547586672
Dist_Cluster_2,0.0006394361362992207
feature_13,0.0007641190884157157
feature_33,0.0008018377765276252
feature_54,0.0008862919763793498
feature_56,0.0009087691553378186
feature_30,0.0009396644303706347
Dist_Cluster_7,0.001064402411963461
feature_34,0.001169126055770331
feature_62,0.0013864910966368215
Dist_Cluster_22,0.0013989618122641767
feature_22,0.001425808714410315
feature_29,0.001477759223977726
feature_45,0.0015556381693433209
feature_12,0.0020105915431994693
feature_47,0.002315475968741554
feature_36,0.002747269399196317
feature_31,0.003015451166544292
feature_51,0.003069691004602215
feature_25,0.0030844074918342733
feature_42,0.0031066758623543357
feature_19,0.004109628343050597
Dist_Cluster_3,0.004130307217601326
feature_14,0.006101755735170378
feature_20,0.0091449865814744
feature_24,0.014894803323208184
feature_53,0.02187406562741867
