Learner 1,counter
0.0218740656274186,0
0.0148948033232081,0
0.0091449865814744,0
0.0061017557351703,0
0.0041303072176013,0
0.0041096283430505,0
0.0031066758623543,0
0.0030844074918342,0
0.0030696910046022,0
0.0030154511665442,0
0.0027472693991963,0
0.0023154759687415,0
0.0020105915431994,0
0.0015556381693433,0
0.0014777592239777,0
0.0014258087144103,0
0.0013989618122641,0
0.0013864910966368,0
0.0011691260557703,0
0.0010644024119634,0
0.0009396644303706,0
0.0009087691553378,0
0.0008862919763793,0
0.0008018377765276,0
0.0007641190884157,0
0.0006394361362992,0
0.0005667775475866,0
0.0004662621645472,0
0.0004546527835973,0
0.0004452204382647,0
0.0004052342829964,0
0.0003732209684487,0
0.0003473949146757,0
0.000340990706604,0
0.0002817821989191,0
0.000239760192362,0
0.0002267693452882,0
0.0001881088834297,0
0.0001576586108971,0
0.0001412965447731,0
0.0001179328234403,0
8.639688993352656e-05,0
8.483191741890384e-05,0
7.691751025651339e-05,0
6.960205359380911e-05,0
6.540832801102959e-05,0
3.5417084251720966e-05,0
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
0.0,1
-1.2883217741355149e-05,1
-1.596438068016681e-05,1
-3.535320300402933e-05,1
-4.035299568743156e-05,1
-8.103208037568699e-05,1
-0.000111239150376,1
-0.0001981666596239,1
-0.0002068914956404,1
-0.0002124348422876,1
-0.0002210264103496,1
-0.0002291624929424,1
-0.0002509396299595,1
-0.0002755365924659,1
-0.0003321450055575,1
-0.0003380997381089,1
-0.0003417324879908,1
-0.0004391274245312,1
-0.0004541584660916,1
-0.000601642614629,1
-0.0007471295543946,1
-0.0007566474101584,1
-0.001053494236994,1
-0.0011339720556871,1
-0.0026520610375992,1
